PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 0.1 bar (mol/kg)
7.70338,9.70648,6125.43,0.791366,0.4091793,8.0795317362,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0320601891
15.15249,16.14052,4624.68,0.762425,0.434566154,12.5601587927,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0583521066
10.57866,12.99251,4562.98,0.77588,0.454659751,10.6356934982,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0457382617
7.59184,10.91417,4732.29,0.735297,0.492458855,12.362372324,50,0,31.81818182,9.090909091,9.090909091,0,0,0.0511653005
15.28375,17.16585,4178.87,0.78751,0.463652739,13.0031019619,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0606585859
6.66034,9.01412,3700.06,0.725973,0.598825534,14.5270100485,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0811084618
6.14486,8.54569,4081.09,0.727382,0.610296646,12.2948042238,52.38095238,0,23.80952381,9.523809524,14.28571429,0,0,0.0641838368
15.20779,16.68582,4188.54,0.7917,0.466993376,12.8402330787,50,0,20,15,15,0,0,0.0583066607
6.08038,8.61807,3926.58,0.737517,0.613501248,11.9691100334,50,0,20,15,15,0,0,0.0593787723
7.26292,7.7023,4380.51,0.793794,0.577494352,10.8375485782,50,0,20,15,15,0,0,0.0631414992
8.78976,12.22795,3900.95,0.749426,0.530911893,11.2603811274,50,0,20,15,15,0,0,0.0390483737
7.42284,10.00499,5885.86,0.780562,0.433870465,8.5045867212,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.033425604
15.23926,16.06957,4195.2,0.750658,0.458928126,13.809098565,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0651906965
10.61233,13.43123,4043.39,0.748858,0.480393431,9.7794199025,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0355069977
7.48489,10.67615,4317.22,0.714711,0.523110189,12.3019615319,52.17391304,0,30.43478261,8.695652174,8.695652174,0,0,0.0518807101
8.43009,9.11887,6596.8,0.755548,0.392001757,8.6403109021,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0357738185
9.56437,15.11791,5936.36,0.777407,0.336746026,8.8116106984,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0324805464
14.70438,16.87609,4459.23,0.729074,0.41509472,12.9383136433,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0524362548
10.61246,13.14037,4584.44,0.734537,0.432820866,13.427973741,53.84615385,0,42.30769231,0,3.846153846,0,0,0.0680582892
8.2519,9.08563,5752.07,0.726466,0.469006988,9.7357390298,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0338387726
8.46511,15.52706,5108.63,0.762644,0.401968403,9.7003143939,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0330803996
11.71501,14.32205,3951.88,0.692535,0.498953257,14.1513762054,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.066356594
14.02213,18.79998,4883.64,0.771318,0.37986766,8.1365990564,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0255034867
6.71281,7.17214,3600.61,0.633471,0.625516501,12.6690196696,46.15384615,0,34.61538462,7.692307692,11.53846154,0,0,0.0614393831
7.77885,9.91532,5660.21,0.798442,0.435799728,8.3152544317,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0336749723
13.14819,15.71949,4684.8,0.77764,0.457907143,12.4654026121,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0504768663
7.32807,7.78339,4389.39,0.774792,0.576388216,11.7182877223,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0756645706
7.53834,9.83931,4559.25,0.739815,0.53007779,12.1806528604,50,0,27.27272727,13.63636364,9.090909091,0,0,0.0541465277
12.90216,15.77906,3234.09,0.701449,0.555138555,13.7415881135,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0510750039
5.2374,6.37141,2763.32,0.600739,0.71685532,16.0404926672,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0911322768
13.7351,17.19747,4332.73,0.796908,0.428908232,8.7208770668,50,0,20.83333333,8.333333333,20.83333333,0,0,0.0273748452
15.31642,17.17109,2454.89,0.661325,0.5191851,23.8780145772,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.1564649198
10.726,11.34401,5551.43,0.780603,0.40693187,9.6709226881,44.82758621,0,37.93103448,13.79310345,3.448275862,0,0,0.0400682667
7.88465,10.04078,5437.09,0.767167,0.467323427,9.098679389,50,0,29.16666667,8.333333333,12.5,0,0,0.0357620674
8.74307,14.40549,4837.21,0.778683,0.427805187,10.2434795952,50,0,29.16666667,8.333333333,12.5,0,0,0.0374384143
15.06697,16.48188,3787.41,0.734774,0.486878632,13.3115899984,50,0,29.16666667,8.333333333,12.5,0,0,0.0491652012
6.13609,9.64668,4144.31,0.692535,0.563490211,12.5463363954,50,0,29.16666667,8.333333333,12.5,0,0,0.0530000716
7.5105,9.34382,5084.49,0.730592,0.4946387,9.6380726884,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0377698252
12.19801,14.7429,2693.58,0.647349,0.527135121,9.3605716556,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0212027487
10.72007,13.5563,3386.84,0.668824,0.547561211,11.805815747,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.037689937
7.25285,7.70041,2988.38,0.630697,0.654180257,12.9306113269,48.14814815,0,33.33333333,7.407407407,11.11111111,0,0,0.0569984008
